Timestamp,Equipment,Temperature,Vibration,Pressure
20-06-2023 11:11,Pump5,27.3,0.6,11.9
20-06-2023 11:12,Mixer8,26.9,1.3,11.8
20-06-2023 11:13,Compressor4,28.6,0.7,11.7
20-06-2023 11:14,Turbine6,27.8,1,11.6
20-06-2023 11:15,ConveyorBelt7,26.4,1.2,11.5
20-06-2023 11:16,Pump5,28.1,0.9,11.4
20-06-2023 11:17,Mixer8,29.2,1.1,11.3
20-06-2023 11:18,Compressor4,27.6,0.6,11.2
20-06-2023 11:19,Turbine6,28.9,1.3,11.1
20-06-2023 11:20,ConveyorBelt7,27.7,0.7,11
20-06-2023 11:21,Pump5,26.3,1,10.9
20-06-2023 11:22,Mixer8,27.8,1.2,10.8
20-06-2023 11:23,Compressor4,29.1,0.9,10.7
20-06-2023 11:24,Turbine6,27.5,1.1,10.6
20-06-2023 11:25,ConveyorBelt7,28.8,0.6,10.5
20-06-2023 11:26,Pump5,27.6,1.3,10.4
20-06-2023 11:27,Mixer8,29,0.7,10.3
20-06-2023 11:28,Compressor4,27.4,1,10.2
20-06-2023 11:29,Turbine6,28.7,1.2,10.1
20-06-2023 11:30,ConveyorBelt7,27.3,0.9,10
20-06-2023 11:31,Pump5,26.9,1.1,9.9
20-06-2023 11:32,Mixer8,28.4,0.6,9.8
20-06-2023 11:33,Compressor4,29.8,1.3,9.7
20-06-2023 11:34,Turbine6,27.6,0.7,9.6
20-06-2023 11:35,ConveyorBelt7,28.9,1,9.5
20-06-2023 11:36,Pump5,27.5,1.2,9.4
20-06-2023 11:37,Mixer8,29,0.9,9.3
20-06-2023 11:38,Compressor4,27.4,1.1,9.2
20-06-2023 11:39,Turbine6,28.7,0.6,9.1
20-06-2023 11:40,ConveyorBelt7,27.3,1.3,9
20-06-2023 11:41,Pump5,26.9,0.7,8.9
20-06-2023 11:42,Mixer8,28.4,1,8.8
20-06-2023 11:43,Compressor4,29.8,1.2,8.7
20-06-2023 11:44,Turbine6,27.6,0.9,8.6
20-06-2023 11:45,ConveyorBelt7,28.9,1.1,8.5
20-06-2023 11:46,Pump5,27.5,0.6,8.4
20-06-2023 11:47,Mixer8,29,1.3,8.3
20-06-2023 11:48,Compressor4,27.4,0.7,8.2
20-06-2023 11:49,Turbine6,28.7,1,8.1
20-06-2023 11:50,ConveyorBelt7,27.3,1.2,8
